sample_id,rep,well,dilution,substrate,time,absorbance,sample_source
Clear_Creek,1,F3,0.001,Itaconic Acid,24,0.029,water
Clear_Creek,1,F3,0.001,Itaconic Acid,48,0.01,water
Clear_Creek,1,F3,0.001,Itaconic Acid,144,0.02,water
Clear_Creek,1,F3,0.01,Itaconic Acid,24,0.185,water
Clear_Creek,1,F3,0.01,Itaconic Acid,48,0.3,water
Clear_Creek,1,F3,0.01,Itaconic Acid,144,1.021,water
Clear_Creek,1,F3,0.1,Itaconic Acid,24,0.059,water
Clear_Creek,1,F3,0.1,Itaconic Acid,48,0.045,water
Clear_Creek,1,F3,0.1,Itaconic Acid,144,0,water
Clear_Creek,2,F3,0.001,Itaconic Acid,24,0.1,water
Clear_Creek,2,F3,0.001,Itaconic Acid,48,0,water
Clear_Creek,2,F3,0.001,Itaconic Acid,144,0.039,water
Clear_Creek,2,F3,0.01,Itaconic Acid,24,0.199,water
Clear_Creek,2,F3,0.01,Itaconic Acid,48,0.098,water
Clear_Creek,2,F3,0.01,Itaconic Acid,144,0.037,water
Clear_Creek,2,F3,0.1,Itaconic Acid,24,0.128,water
Clear_Creek,2,F3,0.1,Itaconic Acid,48,0.629,water
Clear_Creek,2,F3,0.1,Itaconic Acid,144,0.94,water
Clear_Creek,3,F3,0.001,Itaconic Acid,24,0,water
Clear_Creek,3,F3,0.001,Itaconic Acid,48,0.051,water
Clear_Creek,3,F3,0.001,Itaconic Acid,144,0.035,water
Clear_Creek,3,F3,0.01,Itaconic Acid,24,0,water
Clear_Creek,3,F3,0.01,Itaconic Acid,48,0.206,water
Clear_Creek,3,F3,0.01,Itaconic Acid,144,0.048,water
Clear_Creek,3,F3,0.1,Itaconic Acid,24,0.037,water
Clear_Creek,3,F3,0.1,Itaconic Acid,48,0.546,water
Clear_Creek,3,F3,0.1,Itaconic Acid,144,0.802,water
Soil_1,1,F3,0.001,Itaconic Acid,24,0.059,soil
Soil_1,1,F3,0.001,Itaconic Acid,48,0,soil
Soil_1,1,F3,0.001,Itaconic Acid,144,2.138,soil
Soil_1,1,F3,0.01,Itaconic Acid,24,0.185,soil
Soil_1,1,F3,0.01,Itaconic Acid,48,0.795,soil
Soil_1,1,F3,0.01,Itaconic Acid,144,1.704,soil
Soil_1,1,F3,0.1,Itaconic Acid,24,0.029,soil
Soil_1,1,F3,0.1,Itaconic Acid,48,0.615,soil
Soil_1,1,F3,0.1,Itaconic Acid,144,1.584,soil
Soil_1,2,F3,0.001,Itaconic Acid,24,0.029,soil
Soil_1,2,F3,0.001,Itaconic Acid,48,0.158,soil
Soil_1,2,F3,0.001,Itaconic Acid,144,2.073,soil
Soil_1,2,F3,0.01,Itaconic Acid,24,0.185,soil
Soil_1,2,F3,0.01,Itaconic Acid,48,1.409,soil
Soil_1,2,F3,0.01,Itaconic Acid,144,1.893,soil
Soil_1,2,F3,0.1,Itaconic Acid,24,0.059,soil
Soil_1,2,F3,0.1,Itaconic Acid,48,0.886,soil
Soil_1,2,F3,0.1,Itaconic Acid,144,1.524,soil
Soil_1,3,F3,0.001,Itaconic Acid,24,0.518,soil
Soil_1,3,F3,0.001,Itaconic Acid,48,1.183,soil
Soil_1,3,F3,0.001,Itaconic Acid,144,2.387,soil
Soil_1,3,F3,0.01,Itaconic Acid,24,0.672,soil
Soil_1,3,F3,0.01,Itaconic Acid,48,1.618,soil
Soil_1,3,F3,0.01,Itaconic Acid,144,2.04,soil
Soil_1,3,F3,0.1,Itaconic Acid,24,0.546,soil
Soil_1,3,F3,0.1,Itaconic Acid,48,1.043,soil
Soil_1,3,F3,0.1,Itaconic Acid,144,1.58,soil
Soil_2,1,F3,0.001,Itaconic Acid,24,0.257,soil
Soil_2,1,F3,0.001,Itaconic Acid,48,0.334,soil
Soil_2,1,F3,0.001,Itaconic Acid,144,2.557,soil
Soil_2,1,F3,0.01,Itaconic Acid,24,0.168,soil
Soil_2,1,F3,0.01,Itaconic Acid,48,1.145,soil
Soil_2,1,F3,0.01,Itaconic Acid,144,1.951,soil
Soil_2,1,F3,0.1,Itaconic Acid,24,0.405,soil
Soil_2,1,F3,0.1,Itaconic Acid,48,0.463,soil
Soil_2,1,F3,0.1,Itaconic Acid,144,0.811,soil
Soil_2,2,F3,0.001,Itaconic Acid,24,0,soil
Soil_2,2,F3,0.001,Itaconic Acid,48,0,soil
Soil_2,2,F3,0.001,Itaconic Acid,144,2.462,soil
Soil_2,2,F3,0.01,Itaconic Acid,24,0.126,soil
Soil_2,2,F3,0.01,Itaconic Acid,48,0.512,soil
Soil_2,2,F3,0.01,Itaconic Acid,144,1.469,soil
Soil_2,2,F3,0.1,Itaconic Acid,24,0.339,soil
Soil_2,2,F3,0.1,Itaconic Acid,48,0.683,soil
Soil_2,2,F3,0.1,Itaconic Acid,144,1.585,soil
Soil_2,3,F3,0.001,Itaconic Acid,24,0.128,soil
Soil_2,3,F3,0.001,Itaconic Acid,48,0,soil
Soil_2,3,F3,0.001,Itaconic Acid,144,2.35,soil
Soil_2,3,F3,0.01,Itaconic Acid,24,0.199,soil
Soil_2,3,F3,0.01,Itaconic Acid,48,0.883,soil
Soil_2,3,F3,0.01,Itaconic Acid,144,1.911,soil
Soil_2,3,F3,0.1,Itaconic Acid,24,0.1,soil
Soil_2,3,F3,0.1,Itaconic Acid,48,0.331,soil
Soil_2,3,F3,0.1,Itaconic Acid,144,0.586,soil
Waste_Water,1,F3,0.001,Itaconic Acid,24,0,water
Waste_Water,1,F3,0.001,Itaconic Acid,48,0,water
Waste_Water,1,F3,0.001,Itaconic Acid,144,0,water
Waste_Water,1,F3,0.01,Itaconic Acid,24,0,water
Waste_Water,1,F3,0.01,Itaconic Acid,48,0.247,water
Waste_Water,1,F3,0.01,Itaconic Acid,144,0.345,water
Waste_Water,1,F3,0.1,Itaconic Acid,24,0.037,water
Waste_Water,1,F3,0.1,Itaconic Acid,48,0.182,water
Waste_Water,1,F3,0.1,Itaconic Acid,144,0.308,water
Waste_Water,2,F3,0.001,Itaconic Acid,24,0,water
Waste_Water,2,F3,0.001,Itaconic Acid,48,0.555,water
Waste_Water,2,F3,0.001,Itaconic Acid,144,0,water
Waste_Water,2,F3,0.01,Itaconic Acid,24,0,water
Waste_Water,2,F3,0.01,Itaconic Acid,48,0.269,water
Waste_Water,2,F3,0.01,Itaconic Acid,144,0.271,water
Waste_Water,2,F3,0.1,Itaconic Acid,24,0.037,water
Waste_Water,2,F3,0.1,Itaconic Acid,48,0,water
Waste_Water,2,F3,0.1,Itaconic Acid,144,0,water
Waste_Water,3,F3,0.001,Itaconic Acid,24,0.004,water
Waste_Water,3,F3,0.001,Itaconic Acid,48,0.005,water
Waste_Water,3,F3,0.001,Itaconic Acid,144,0.01,water
Waste_Water,3,F3,0.01,Itaconic Acid,24,0.026,water
Waste_Water,3,F3,0.01,Itaconic Acid,48,0.257,water
Waste_Water,3,F3,0.01,Itaconic Acid,144,0.041,water
Waste_Water,3,F3,0.1,Itaconic Acid,24,0.092,water
Waste_Water,3,F3,0.1,Itaconic Acid,48,0.28,water
Waste_Water,3,F3,0.1,Itaconic Acid,144,0.734,water
